,mora,atraso,vivienda,edad,dias_lab,exp_sf,nivel_ahorro,ingreso,linea_sf,deuda_sf,score,zona,clasif_sbs,nivel_educ
0,0,235,1,30,3748,93.0,5,3500.0,121543.40,0.0,214,Lima,4,3
1,0,18,1,32,4598,9.0,12,900.0,1824.67,1933.75,175,La Libertad,1,2
2,0,0,1,26,5148,8.0,2,2400.0,2797.38,188.29,187,Lima,0,3
3,0,0,1,36,5179,20.0,12,2700.0,121543.40,0.0,187,Ancash,0,2
4,0,0,1,46,3960,3.0,1,3100.0,2000.0,11010.65,189,Lima,0,2
5,0,22,1,25,4874,9.0,12,2200.0,449.92,496.58,220,Lima,0,3
6,0,9,1,30,3930,12.0,8,2100.0,4827.64,850.21,193,Lima,0,3
7,0,8,2,55,4995,23.0,12,5593.21,10467.0,18620.8,199,Piura,0,2
8,0,2,1,30,5026,3.0,0,2000.0,7315.41,0.0,156,Piura,0,3
9,0,0,1,31,4964,3.0,4,3800.0,121543.40,0.0,192,Ica,0,2
10,0,0,1,26,4200,8.0,12,3929.72,6000.0,502.13,186,Loreto,0,2
11,0,0,1,50,4995,3.0,2,6000.0,2802.74,19020.95,177,Junin,0,2
12,0,1,1,21,4315,12.0,12,1076.94,3900.0,3796.18,175,Lima,0,2
13,0,0,2,41,3687,8.0,10,2615.68,3500.0,1825.18,199,Lima,0,2
14,0,0,1,30,3779,6.0,11,850.0,675.0,2484.67,168,Lima,0,2
15,0,1,1,52,6031,3.0,12,8000.0,2709.94,47869.37,197,Lambayeque,0,2
16,0,17,1,28,5694,47.0,0,2800.0,7324.16,0.0,175,Lima,2,3
17,0,0,1,45,7612,3.0,4,1053.0,541.21,0.0,168,Lima,1,3
18,0,0,1,30,3899,10.0,12,1163.91,8871.27,32.05,168,Lima,0,2
19,0,0,1,54,3930,9.0,12,666.11,2673.0,4010.56,180,Piura,0,2
20,0,25,1,29,4052,11.0,9,1500.0,1500.0,423.93,177,Lima,1,2
21,0,2,1,35,3992,8.0,12,785.06,500.0,818.8,177,Lima,1,2
22,0,2,1,51,4385,12.0,12,900.0,121543.40,3672.76,180,Lima,0,2
23,0,2,1,29,4904,3.0,12,905.76,350.0,1814.11,194,Lima,0,2
24,0,1,2,59,5605,9.0,12,2300.0,600.0,5195.7,230,Lima,0,2
25,0,2,2,41,4083,3.0,12,950.0,121543.40,4444.3,218,Piura,0,2
26,0,0,1,22,3382,8.0,12,2100.0,900.0,3533.97,214,Callao,0,3
27,0,25,1,23,4205,7.0,12,2100.0,1200.0,1412.51,174,Lima,1,3
28,0,6,1,26,5452,3.0,12,3000.0,2779.74,1815.53,215,Lima,0,3
29,0,0,1,32,4052,3.0,12,1779.79,121543.40,9389.79,173,Lima,0,2
30,0,0,1,30,5209,33.0,11,18000.0,13830.18,0.0,198,Lima,0,3
31,0,1,1,32,3626,3.0,12,940.79,1350.09,2835.34,175,Lima,0,2
32,0,25,1,26,4598,33.0,12,1434.7,6910.5,5500.23,171,Callao,1,2
33,0,0,1,29,4721,8.0,12,2600.0,1075.95,747.4,200,Lima,0,3
34,0,0,2,40,9988,3.0,0,3100.0,121543.40,0.0,204,Ancash,4,3
35,0,0,2,46,5564,3.0,1,900.0,4742.45,1610.13,172,Lambayeque,1,2
36,0,1,1,38,4233,3.0,12,1097.38,1200.0,4562.13,179,Lima,1,2
37,0,0,1,26,4598,8.0,12,2300.0,6406.02,158.24,187,Lima,0,3
38,0,0,1,31,4478,8.0,12,1300.0,1850.0,1471.32,176,Lima,0,3
39,0,0,1,24,4356,10.0,12,3500.0,121543.40,0.0,179,Lima,0,2
40,0,20,2,42,5301,3.0,12,2600.0,145.12,1316.08,207,Lima,2,2
41,0,0,1,29,4386,8.0,12,2100.0,863.39,89.83,200,Lima,0,3
42,0,1,1,34,3930,11.0,12,2066.59,1000.0,5356.8,196,Ica,0,2
43,0,0,2,35,4144,3.0,12,2168.83,1500.0,3874.39,213,La Libertad,0,2
44,0,23,1,36,4995,3.0,1,1200.0,1840.0,1218.6,165,Lima,1,3
45,0,9,2,38,5209,28.0,12,700.0,2595.06,1094.72,226,Lima,0,2
46,0,1,2,24,4052,3.0,12,1119.98,121543.40,945.36,175,Lima,0,2
47,0,27,2,37,3534,3.0,12,1700.0,121543.40,18711.03,194,Cajamarca,0,2
48,0,0,1,32,5878,11.0,12,1950.0,1760.0,5.29,180,Lima,0,2
49,0,33,1,36,6243,38.0,12,900.0,2414.65,0.0,177,Lima,2,2
50,0,0,2,24,4382,3.0,12,1272.95,121543.40,4103.82,194,Callao,0,2
51,0,0,1,29,5056,14.0,1,1500.0,10485.64,502.97,165,Lima,0,3
52,0,2,1,25,4935,16.0,12,1053.18,2400.0,1200.0,169,Callao,0,2
53,0,21,1,23,3960,17.0,12,2100.0,2113.17,3.96,206,Lima,1,2
54,0,2,1,23,4539,3.0,12,2300.0,1573.6,0.0,181,Lima,0,3
55,0,1,2,24,3899,20.0,12,2100.0,2080.0,2426.15,228,Lima,2,3
56,0,0,1,28,4113,6.0,12,1400.0,2500.0,1810.82,185,Lima,0,3
57,0,0,1,29,4113,15.0,12,4200.0,186.22,1075.17,200,Lima,0,3
58,0,0,1,26,3483,3.0,12,703.53,121543.40,2495.79,167,Lima,0,2
59,0,0,1,24,4021,3.0,12,1200.0,121543.40,3789.55,156,Lima,0,2
60,0,1,2,39,3864,3.0,12,880.0,121543.40,197.03,215,Lima,0,2
61,0,0,2,32,6821,3.0,8,5000.0,242.23,9481.83,162,Lambayeque,0,2
62,0,0,1,37,4174,3.0,12,3500.0,2924.86,0.0,202,Lima,0,3
63,0,0,1,21,3718,9.0,11,2100.0,2176.56,771.21,207,Lima,2,3
64,0,0,1,25,3347,3.0,12,2500.0,121543.40,0.0,186,Junin,0,2
65,0,0,1,41,4386,104.0,12,3350.0,14223.57,3459.13,190,La Libertad,1,2
66,0,0,0,29,4935,3.0,0,1860.0,121543.40,13201.17,167,La Libertad,0,2
67,0,2,1,44,4813,2.0,12,3476.0,121543.40,24592.29,205,Ancash,4,3
68,0,3,1,25,5725,3.0,11,6000.0,520.73,0.0,205,Lambayeque,1,2
69,0,0,1,29,3168,3.0,12,694.41,886.68,1556.01,194,Lima,1,2
70,0,2,1,21,3612,3.0,12,1504.31,121543.40,0.0,161,Lima,0,2
71,0,2,1,28,4367,3.0,12,1812.8,121543.40,7697.47,177,La Libertad,0,2
72,0,2,1,26,4818,3.0,12,964.62,121543.40,284.36,169,Tumbes,0,0
73,0,6,1,34,10108,33.0,1,5039.0,461.21,19539.22,206,Piura,1,2
74,0,0,1,32,6396,15.0,0,4500.0,14940.16,60.3,163,Lima,0,0
75,0,0,1,29,5301,24.0,0,3224.86,567.63,678.86,180,Apurimac,0,3
76,0,23,1,35,5847,3.0,12,1800.0,121543.40,3942.86,204,Piura,1,3
77,0,0,2,47,4570,3.0,12,3800.0,1790.97,1943.62,214,Lambayeque,0,0
78,0,0,1,29,5360,3.0,12,3200.0,5889.34,0.0,216,Lima,1,3
79,0,0,1,30,3443,3.0,12,8239.0,121543.40,23303.9,185,Cajamarca,0,2
80,0,0,1,36,4170,10.0,12,3150.0,1700.0,1637.81,197,Lima,4,3
81,0,1,1,28,6456,9.0,11,2200.0,1107.42,1175.88,209,Lima,0,3
82,0,1,1,55,3868,8.0,12,3686.3,8925.0,2764.72,211,Lima,2,2
83,0,1,1,26,4113,7.0,12,2278.38,1600.0,5458.23,206,Lima,0,3
84,0,0,2,32,4629,9.0,12,3000.0,2107.77,3735.74,230,Moquegua,0,2
85,0,1,1,32,4205,3.0,12,1000.0,460.0,3951.23,194,Lima,0,2
86,0,20,2,26,4721,38.0,12,2166.26,5338.84,0.0,191,Lima,1,2
87,0,0,1,24,3809,10.0,10,827.67,2800.0,1215.48,156,La Libertad,0,2
88,0,2,2,56,6762,3.0,12,2690.0,121543.40,0.0,228,Junin,0,2
89,0,0,1,25,4083,11.0,12,2100.0,1500.0,1415.81,189,Callao,0,3
90,0,0,1,41,5421,8.0,12,990.0,179.05,637.72,198,Lima,0,3
91,0,0,1,48,7492,92.0,0,4000.0,11652.79,4929.23,202,Lima,0,2
92,0,13,1,41,4113,3.0,12,1632.87,121543.40,1543.45,182,Lima,0,2
93,0,1,1,32,4300,9.0,12,964.17,2258.74,761.47,178,Lima,1,2
94,0,0,1,34,4263,3.0,12,968.0,121543.40,1241.07,170,Cuzco,0,2
95,0,0,2,29,5544,46.0,2,6814.0,18752.45,0.0,214,Lima,0,3
96,0,25,1,24,4721,41.0,12,2200.0,1423.15,552.96,200,Lima,2,2
97,0,0,1,24,4113,10.0,9,2100.0,410.12,408.67,176,Lambayeque,0,3
